Commands can be used with ! or with >,,,,,
Category,Prefix,Command Name,Command,,Rupee Cost
Lists & Help,!,Command List,!commands,See this list of commands,0
Links,,Discord,!discord,Get a link to the NL Discord Server,0
,,AM:AE Youtube,!youtube,Get a link to my personal Youtube Channel,0
Self Info,,Follow Time,!follow,See how long you've been a follower,
,,Rank,!rank,See your Channel ranking,
MiniGames,,Heist,!heist,,>=1
,,Duel,!challenge,,50
,,Free For All,!ffa,,50
,,Boss Battle,!boss,,50
Yuki the Fox,!,Feed,!feed,Feed Yuki some delicious lööps,0
,!,Who's Yuki?,!whoareyou,Who dis?,
,!,Attack,!attack,Get Yuki really pissed off,
,!,Dance,(keyword),If you say dance anywhere in your message Yuki will break out the sick moves,0
,!,Good,(keyword),Yuki is such a good pupper,0
,!,"Sub, cheer, host or follow",(action),Do any of these and Yuki will say something,0
Actions,,Hug,!hug @huggie,Give someone a hug!,
,,Hug Me,!hugme,Get a nice hug from Weebot,
,,Random Hug,!randhug,Hug a stranger (not creepy at all),
,,Slap,!slap @slappie,Slap someone,5
,,Random Slap,!randslap,"Assult a stranger, in a nice way tho",10
,,Pick a Fight,!pickfight,Pick a fight with a stranger,10
,,Fight,!fight @fightie,Fight someone,5
Memes & Meters,,You Asked,killme,Ok,
,,Shrug,shrug/*shrug*/!shrug/,¯\_(ツ)_/¯,
,,idk,idk,¯\_(ツ)_/¯,
,,wtf,wtf,idk either ¯\_(ツ)_/¯,
,,Nice.,nice,Nice.,
,,Lolice,!lolice @lolicon,Call the Lolice on someone,
,,Love Meter,!lovemeter @lovie,Find out how much someone really loves you,
,,Random Love Meter,!randlovemeter,The that ^ but random,
,,Dark Side,!darkside,Find out how close you are to becoming a Sith,
